qid,recall@2,recall@10,recall@100,nDCG@10
query_0,0.0,0.0,1.0,0.0
query_1,0.0,0.5,1.0,0.18457569677956817
query_2,0.0,1.0,1.0,0.39780880120575696
query_3,0.0,0.0,1.0,0.0
query_4,0.0,0.5,1.0,0.18457569677956817
query_5,0.0,0.0,1.0,0.0
query_6,0.0,0.5,1.0,0.19342640361727081
query_7,0.0,1.0,1.0,0.5
query_8,0.0,0.5,1.0,0.20438239758848611
query_9,0.0,0.0,1.0,0.0
query_10,0.0,0.0,1.0,0.0
query_11,0.0,0.0,1.0,0.0
query_12,0.0,0.0,1.0,0.0
query_13,0.0,0.5,1.0,0.18457569677956817
query_14,0.0,0.0,1.0,0.0
query_15,0.0,0.0,1.0,0.0
query_16,0.0,0.0,1.0,0.0
query_17,0.0,0.0,1.0,0.0
query_18,0.0,0.5,1.0,0.20438239758848611
query_19,0.5,0.5,1.0,0.38685280723454163
query_20,0.0,1.0,1.0,0.37800210039683896
query_21,0.0,0.0,1.0,0.0
query_22,0.0,0.0,1.0,0.0
query_23,0.0,0.0,1.0,0.0
query_24,0.0,0.0,1.0,0.0
